index,state,year,no2
806,WV,2006,11.973777512738405
807,WV,2007,11.332064098962887
808,WV,2008,11.767118717050257
809,WV,2009,7.946370566233831
810,WV,2010,8.227596147189992
811,WV,2011,11.83082704374556
812,WV,2012,12.836751573477065
813,WV,2013,10.105391775593208
814,WV,2014,11.416656344143862
815,WV,2015,7.2392058640113
816,WV,2016,6.926904569383707
817,WY,2000,12.085571717522113
818,WY,2001,12.371424034305296
819,WY,2002,17.044684058332653
820,WY,2003,16.441972339286714
821,WY,2004,19.294884820434035
822,WY,2005,14.070851877703639
823,WY,2006,13.228285400686847
824,WY,2007,9.491295143004749
825,WY,2008,9.23096357168135
826,WY,2009,7.626811368471318
827,WY,2010,7.09536815816135
828,WY,2011,6.139791958587379
829,WY,2012,8.188433831020387
830,WY,2013,7.328789719706224
831,WY,2014,8.065399563896165
832,WY,2015,6.806475914268111
833,WY,2016,6.127310476292439
